id,vendor,product_name,units,brand,current_price,price_per_unit,price_in_dollars
2034073,Metro,Sourdough Sprouted Grain Sliced Bread,600g,Front Street Bakery,4.99,$0.83 /100g,0.83
2034142,Metro,Chocolate Chip Banana Bread,575g,Good-For-You,7.99,$1.23 /100g,1.23
2034146,Metro,Banana Bread,575g,Good-For-You,7.99,$1.39 /100g,1.39
2034147,Metro,Brizzolio Thick Slice Bread,600g,D'Italiano,4.59,$0.77 /100g,0.77
2034341,Metro,"Quinoa And Flax Bread, Clearly Good",600g,Stonemill Bakehouse,5.69,$0.95 /100g,0.95
2034345,Metro,Belgian Bread,400g,Front Street Bakery,3.79,$0.95 /100g,0.95
2034355,Metro,Apple Strudel Flavoured Breakfast Bread,454g,Thomas',5.69,$1.24 /100g,1.24
2034404,Metro,Gluten Free Stone Baked Original Naan Bread,240g,BFree,7.99,$3.33 /100g,3.33
2034468,Metro,"White Sourdough Bread, Artesano",540g,Villaggio,4.29,$0.75 /100g,0.75
2034475,Metro,Pita Breads,284g,Promise Gluten Free,8.49,$2.99 /100g,2.99
2034731,Metro,"Rustic Ciabatta Breads, Front Street Bakery",6 un - 450g,Irresistibles,4.29,$0.95 /100g,0.95
2034759,Metro,Munich Style Rye Sliced Bread,500g,Dimpflmeier,4.49,$0.90 /100g,0.9
2034983,Metro,Maple French Toast Flavoured Breakfast Bread,454g,Thomas',5.69,$1.24 /100g,1.24
2035040,Metro,"Authentic Italian Calabrese Bread, Baked In Store",200g,,2.99,$1.50 /100g,1.5
2035054,Metro,Dark Rye Bread Baked In Store,450g,,3.79,$0.84 /100g,0.84
2035324,Metro,Frozen Gluten Free Black Pepper Breaded Cod,400g,Toppits,11.99,$3.00 /100g,3.0
2035366,Metro,Frozen Breaded Atlantic Haddock Fillets,500g,Aqua Star,11.99,$2.40 /100g,2.4
2075448,Metro,Full Seed Ahead Bread,680g,Silver Hills Bakery,6.79,$1.00 /100g,1.0
2088276,Metro,Gluten Free Multigrain Bread Sliced,550g,Carbonaut,9.99,$1.82 /100g,1.82
2088430,Metro,Frozen Gluten Free White Bread,550g,Carbonaut,9.99,$1.82 /100g,1.82
2089195,Metro,Frozen Gluten Free Cinnamon And Raisin Sliced Bread,500g,Queen St.Bakery,8.99,$1.80 /100g,1.8
2090674,Metro,Whole Grains Double Flax Sliced Bread,600g,Dempster's,4.49,$0.75 /100g,0.75
2131775,Metro,Frozen Seasoned And Breaded Chicken Breast Chunks,790g,Pinty's,19.99,$2.53 /100g,2.53
2144699,Metro,Cumin Flavoured Shortbread Cookies,350g,Crispy,3.49,$1.00 /100g,1.0
2161706,Metro,Frozen Coconut Breaded Shrimps With Sweet Chili Sauce,454g,Irresistibles,11.99,$2.64 /100g,2.64
2162423,Metro,Bruschetta Flatbread Pizza,376g,Irresistibles,2/$8.00,$1.06 /100g,1.06
2174368,Metro,Gingerbread Cookies,240g,Shasha Co.,6.49,$2.70 /100g,2.7
2175696,Metro,Cheddar And Thyme Savoury Shortbread,90g,Provisions Food Company,9.99,$11.10 /100g,1.1
2193016,Metro,Homestyle Whole Grain Bread,450g,Front Street Bakery,2.99,$0.66 /100g,0.66
2193021,Metro,White Homestyle Bread,450g,Front Street Bakery,2.99,$0.66 /100g,0.66
2217901,Metro,Frozen Garlic Breadsticks,298g,Selection,2.49,$0.84 /100g,0.84
2218317,Metro,Frozen Bruschetta Flatbread Pizza,376g,Irresistibles,2/$8.00,$1.06 /100g,1.06
2218658,Metro,Medditerranean Flatbread Pizza,340g,Irresistibles,2/$8.00,$1.18 /100g,1.18
2220307,Metro,Frozen Breaded Alaska Cod Fillets,500g,Aqua Star,11.99,$2.40 /100g,2.4
2223173,Metro,Panko Breadcrumbs,227g,Irresistibles,3.49,$1.54 /100g,1.54
2232223,Metro,"Chicken, Bacon And Caramelized Onion Flatbread Pizza",342g,Irresistibles,2/$8.00,$1.17 /100g,1.17
2232932,Metro,Sliced Long Calabrese Bread,575g,Front Street Bakery,3.99,$0.69 /100g,0.69
2239696,Metro,Frozen Garlic Bread,330g,Irresistibles,1.99,$0.60 /100g,0.6
2239856,Metro,Frozen Coconut Breaded Shrimp With Sweet Chili Sauce,454g,Irresistibles,11.99,$2.64 /100g,2.64
2241271,Metro,Chickpea Rotti Flat Bread,750g,Irresistibles,4.59,$0.61 /100g,0.61
2241514,Metro,Original Flavour Rotti Flat Breads,750g,Irresistibles,4.59,$0.61 /100g,0.61
2243454,Metro,Seasoned Panko Breadcrumbs,227g,Irresistibles,3.49,$1.54 /100g,1.54
2243717,Metro,"Unbleached White Bread Flour, Organic",2.5kg,Life Smart,10.49,$0.42 /100g,0.42
2249357,Metro,"Lemon And Buttery Bite-Sized Shortbread Cookies, Shorts",140g,Cookie it Up,6.49,$4.64 /100g,4.64
2249370,Metro,Shortbread Cookies,500g,Irresistibles,9.99,$2.00 /100g,2.0
2249666,Metro,Naan Bread,240g,Irresistibles,3.29,$1.37 /100g,1.37
2249673,Metro,Garlic Naan Bread,240g,Irresistibles,3.29,$1.37 /100g,1.37
2249705,Metro,Mini Naan Breads,16un,Irresistibles,3.29,$1.71 /100g,1.71
2249845,Metro,Square Naan Sandwich Bread,360g,Irresistibles,3.29,$0.91 /100g,0.91
2249855,Metro,Brioche Sliced Bread,,Irresistibles,5.99,$1.20 /100g,1.2
2250101,Metro,Frozen Salt And Pepper Seasoned Breaded Calamari,340g,Irresistibles,7.99,$2.35 /100g,2.35
2250117,Metro,Frozen Breaded Torpedo Shrimp,284g,Irresistibles,7.99,$2.81 /100g,2.81
2289756,Metro,"Plain Breadcrumbs, Panko",227g,Aurora,4.79,$2.11 /100g,2.11
2291107,Metro,Panko Breadcrumbs,227g,Irrésistible,3.49,$1.54 /100g,1.54
2293339,Metro,Honey Garlic And Thai Chili Sauce Breaded Mini Chick...,710g,Janes,12.99,$1.83 /100g,1.83
2295090,Metro,"Italian Herb Flatbread Crackers, Town House",247g,Kellogg's,4.99,$2.02 /100g,2.02
2295309,Metro,Gluten-Free Ciabatta Breads,4x50g,Schär,10.29,$5.15 /100g,5.15
2295758,Metro,Pumpernickel Rye Bread Baked In Store,450g,,3.49,$0.78 /100g,0.78
2300394,Metro,Gingerbread Spice Flavoured Finishing Sugar,64g,Club House,4.99,$7.80 /100g,7.8
2301567,Metro,"Japanese-Style Whole Wheat Panko Bread Crumbs, Panko",227g,Kikkoman,3.99,$1.76 /100g,1.76
2301883,Metro,Plain Breadcrumbs,680g,Aurora,4.79,$0.70 /100g,0.7
2305349,Metro,"Salted Butterscotch Flavoured Shortbread Cookies, Sh...",140g,Cookie it Up,6.49,$4.64 /100g,4.64
2306668,Metro,Light & Crispy Snackbread,125g,RyVita,4.99,$3.99 /100g,3.99
2306680,Metro,Light & Crispy Whole Grain Snackbread,125g,RyVita,4.99,$3.99 /100g,3.99
2308964,Metro,Shortbread Cookie,336g,Front Street Bakery,4.99,$1.39 /100g,1.39
2309033,Metro,Original Flavour Rotti Flat Breads,750g,Irrésistible,4.59,$0.61 /100g,0.61
2309102,Metro,Rosemary Belgian Sliced Bread,450g,Front Street Bakery,3.99,$0.89 /100g,0.89
2309293,Metro,Organic Sprouted Whole Grain Sliced Bread With A Lig...,680g,Silver Hills Bakery,6.79,$1.00 /100g,1.0
2312103,Metro,Seasoned Panko Breadcrumbs,227g,Irrésistible,3.49,$1.54 /100g,1.54
2314975,Metro,Almond And Honey Flavoured Shortbread Cookies,350g,Crispy,3.49,$1.00 /100g,1.0
2314977,Metro,Coconut Flavoured Shortbread Cookies,350g,Crispy,3.49,$1.00 /100g,1.0
2315250,Metro,Pure Butter Shortbread Cookies,140g,Walkers,5.99,$4.28 /100g,4.28
2315410,Metro,Gingerbread Cookie,220g,Voortman,3.49,$1.59 /100g,1.59
2315467,Metro,"Banana Bread Soft Cookies, Bear Paws",480g,Dare,6.99,$1.46 /100g,1.46
2315742,Metro,"Cheese Flavoured Light And Crispy Snackbread, Snackb...",125g,Ryvita,4.99,$3.99 /100g,3.99
2316479,Metro,Blue Cheese And Fig Savoury Shortbread,90g,Provisions Food Company,9.99,$11.10 /100g,1.1
2316984,Metro,Pistachio Flavoured Shortbread Cookies,350g,Crispy,3.49,$1.00 /100g,1.0
2316987,Metro,Cashew Flavoured Shortbread Cookies,350g,Crispy,3.49,$1.00 /100g,1.0
2317069,Metro,Gingerbread Cookies,350g,Voortman,3.49,$1.00 /100g,1.0
2318603,Metro,Sliced Light Rye Bread Baked In Store,450g,,4.29,$0.95 /100g,0.95
2318724,Metro,14 Grains Multigrain Bread,450g,Front Street Bakery,4.29,$0.95 /100g,0.95
2318732,Metro,Dark Rye Bread Baked And Sliced In Store,450g,,4.29,$0.95 /100g,0.95
2318750,Metro,Organic Spelt Bread,575g,Première Moisson,5.79,$1.01 /100g,1.01
2318751,Metro,Organic Integral Sourdough Bread,625g,Première Moisson,5.79,$0.93 /100g,0.93
2318757,Metro,Rye Bread With Flaxseeds,454g,Dimpflmeier,4.49,$0.99 /100g,0.99
2318758,Metro,Klosterbrot Monastery Rye Bread,454g,Dimpflmeier,4.49,$0.99 /100g,0.99
2318761,Metro,"Apple And Cinnamon Flat Bread, Morning Rounds",450g,Pita Break,4.99,$1.11 /100g,1.11
2318768,Metro,Sliced Brioche Bread,500g,La Fournée Dorée,6.49,$1.30 /100g,1.3
2318770,Metro,Walnut Sourdough Bread,500g,Première Moisson,5.99,$1.20 /100g,1.2
2318785,Metro,Long Calabrese Bread,575g,Front Street Bakery,3.79,$0.66 /100g,0.66
2318800,Metro,Pita Breads,250g,Selection,2.29,$0.92 /100g,0.92
2318801,Metro,"Cranberry And Pumpkin Seed Bread, Naturally Fermented",454g,Stonemill Bakehouse,5.69,$1.25 /100g,1.25
2318802,Metro,Mini Pita Breads,200g,Selection,2.99,$1.50 /100g,1.5
2318809,Metro,Sesame French Bread,475g,,3.99,$0.84 /100g,0.84
2318810,Metro,Low Carb Sliced White Bread,544g,Carbonaut,8.99,$1.65 /100g,1.65
2318811,Metro,Sunflower And Flax Seed Bread,450g,Front Street Bakery,4.29,$0.95 /100g,0.95
2318821,Metro,Artisan Flat Bread,400g,Stonefire,4.29,$1.07 /100g,1.07
2318827,Metro,Pumpernickel Cocktail Sliced Bread,400g,Kasseler,5.99,$1.50 /100g,1.5
2318829,Metro,Sprouted Wheat Sliced Bread,430g,Silver Hills Bakery,6.79,$1.58 /100g,1.58
2318830,Metro,Sliced Rye Bread,500g,Kasseler,4.99,$1.00 /100g,1.0
2318833,Metro,Organic Sprouted Whole Grain Bread Packed With Herit...,510g,Silver Hills Bakery,6.79,$1.33 /100g,1.33
2319000,Metro,Whole Grain Bread Filled With Flax And Chia Seeds Om...,600g,Silver Hills,6.79,$1.13 /100g,1.13
2319004,Metro,"Authentic Italian Calabrese Sliced Bread, Baked In S...",500g,Front Street Bakery,3.99,$0.80 /100g,0.8
2319181,Metro,Pesto And Parmesan Bread,470g,Front Street Bakery,4.99,$1.06 /100g,1.06
2319188,Metro,"Brioche-Style Bread, Signature",600g,Dempster's,4.49,$0.75 /100g,0.75
2319255,Metro,Organic Unsalted Rye Bread,454g,Dimpflmeier,4.69,$1.03 /100g,1.03
2319256,Metro,Organic Rye Bread With Sunflower Seeds,454g,Dimpflmeier,4.69,$1.03 /100g,1.03
2319292,Metro,Garlic And Parmesan Breadsticks,660g,Furlani,5.99,$0.91 /100g,0.91
2319379,Metro,Thick Sliced Brioche-Style Bread,620g,D'Italiano,2/$6.00,$3.49 ea.$0.48 /100g,0.48
2319383,Metro,Whole Wheat Sliced Bread,450g,Weight Watchers,5.99,$1.33 /100g,1.33
2319448,Metro,Sliced Extra Cheddar Cheese Bread Baked In Store,675g,Front Street Bakery,5.99,$0.89 /100g,0.89
2319449,Metro,Sliced Homestyle White Bread Baked In Store,675g,,3.79,$0.56 /100g,0.56
2319504,Metro,Sliced White Sandwich Bread,675g,,3.79,$0.56 /100g,0.56
2319510,Metro,Bavarian Dark Caraway Bread,500g,Rudolph's,3.99,$0.80 /100g,0.8
2319515,Metro,Thin Sliced White Sandwich Bread,675g,Wonder,4.39,$0.65 /100g,0.65
2319516,Metro,Rye Sliced Bread With Flaxseeds,454g,Rudolph's,3.99,$0.88 /100g,0.88
2319517,Metro,100% Whole Wheat Sliced Bread,675g,,3.79,$0.56 /100g,0.56
2319519,Metro,Extra Cheddar Cheese Bread Baked In Store,675g,Front Street Bakery,5.99,$0.89 /100g,0.89
2319521,Metro,100% Whole Wheat Bread Baked In Store,675g,,3.79,$0.56 /100g,0.56
2319528,Metro,Homestyle White Bread Baked In Store,675g,,3.79,$0.56 /100g,0.56
2319530,Metro,White Sandwich Bread Baked In Store,675g,,3.79,$0.56 /100g,0.56
2319544,Metro,Blueberry Muffin Flavoured Breakfast Bread,454g,Thomas',5.69,$1.25 /100g,1.25
2319547,Metro,"Italian Bread, Baked In Store",450g,,3.99,$0.89 /100g,0.89
2319549,Metro,"Homestyle White Sandwich Bread, Baked In Store",675g,,3.99,$0.59 /100g,0.59
2319550,Metro,"White Bread, Baked In Store",675g,Homestyle,3.99,$0.59 /100g,0.59
2319551,Metro,"White Sandwich Sliced Bread, Baked In Store",675g,,3.99,$0.59 /100g,0.59
2319552,Metro,100% Whole Grain Sliced Sandwich Bread,675g,,3.99,$0.59 /100g,0.59
2319554,Metro,"French Bread, Baked In Store",450g,,3.99,$0.89 /100g,0.89
2319590,Metro,Light Rye Bread Baked In Store,450 g,,4.29,$0.95 /100g,0.95
2319591,Metro,14 Grains Multigrain Sliced Bread,450g,Front Street Bakery,4.29,$0.95 /100g,0.95
2319592,Metro,Italian Bread Baked In Store,450g,,3.99,$0.89 /100g,0.89
2320272,Metro,"Pumpernickel Bread And Dip - 240 Cals/Servings, Serv...",790g,,12.99,$1.64 /100g,1.64
2321227,Metro,Limited Edition Gingerbread Pre-Cut Cookie,468g,Pillsbury,5.49,$1.17 /100g,1.17
2321816,Metro,"Melted Cheese And Whole Wheat Breadsticks Snacks, Ch...",140g,The Laughing Cow,2/$8.00,$4.89 ea.$2.86 /100g,2.86
2322191,Metro,Breadcrumbs,300g,,1.99,$0.66 /100g,0.66
2322378,Metro,Breadcrumb,575g,Corn Flakes,5.99,$1.04 /100g,1.04
2322870,Metro,Banana Bread Mix With Walnuts,348g,Betty Crocker,5.19,$1.49 /100g,1.49
2323107,Metro,Homestyle White Bread Flour,5kg,Robin Hood,12.99,$0.26 /100g,0.26
2323138,Metro,Bake Off Breadcrumbs,300g,,1.99,$0.66 /100g,0.66
2323231,Metro,"Breadsticks With Hazelnut And Chocolate Spread, Nute...",52g,Nutella,1.99,$3.83 /100g,3.83
2323580,Metro,Hot Spicy Breadcrumb,425g,Aurora,4.99,$1.17 /100g,1.17
2323674,Metro,Seasoned Fish Breading Mix,284g,Club House,2.99,$1.05 /100g,1.05
2323880,Metro,Italian-Style Breadcrumbs,425g,Selection,3.49,$0.82 /100g,0.82
2323888,Metro,Bread Crumbs,425g,Selection,3.49,$0.82 /100g,0.82
2324025,Metro,Japanese-Style Panko Bread Crumbs,227g,Kikkoman,3.99,$1.76 /100g,1.76
2324407,Metro,"Winter Edition Cereal, Gingerbread Toast Crunch",340g,General Mills,4.99,$1.47 /100g,1.47
2324829,Metro,Homestyle White Bread Flour,2.5kg,Robin Hood,5.99,$0.24 /100g,0.24
2324957,Metro,Gourmet Banana Bread Mix,292g,XO Baking,8.99,$3.08 /100g,3.08
