id,vendor,product_name,units,brand,current_price,price_per_unit,price_in_dollars
2320784,Metro,"2% Organic Milk, Fine-Filtered",4l,Natrel,10.99,$0.27 /100ml,0.27
2320804,Metro,"0% Skim Milk, PurFiltre",1l,Lactantia,3.79,$0.38 /100ml,0.38
2320811,Metro,Cow And Goat Milk Crumbled Feta Cheese,170g,Krinos,7.89,$4.64 /100g,4.64
2320814,Metro,"Fine Herbs Goat's Milk Cheese, Artisan",250g,Irrésistible,9.49,$3.80 /100g,3.8
2320854,Metro,100% Goat Milk Feta Cheese,400g,Krinos,15.49,$3.87 /100g,3.87
2320855,Metro,Coconut Milk,400ml,Mili,2.29,$0.57 /100ml,0.57
2320893,Metro,Homogenized 3.25% Milk,2l,A2 Milk,7.49,$0.37 /100ml,0.37
2320903,Metro,"Goat's Milk Brie Cheese, Artisan",180g,Irrésistible,8.79,$4.88 /100g,4.88
2320917,Metro,2% Organic Milk,1.5l,Lactantia,6.69,$0.45 /100ml,0.45
2320938,Metro,"Goat's Milk Cheese, Artisan",250g,Irrésistible,9.49,$3.80 /100g,3.8
2320940,Metro,"Cranberry Goat's Milk Cheese, Artisan",250g,Irrésistible,9.49,$3.80 /100g,3.8
2320955,Metro,2% Lactose Free Milk,4l,Lactantia,9.99,$0.25 /100ml,0.25
2320959,Metro,"1% Organic Milk, Fine-Filtered",2l,Natrel,7.09,$0.35 /100ml,0.35
2320960,Metro,Unpasteurised Sheep'S Milk Roquefort Cheese,100g,Roquefort Société,7.49,$7.49 /100g,7.49
2320974,Metro,Partly Skimmed 1% Milk,2l,A2 Milk,7.49,$0.37 /100ml,0.37
2320976,Metro,Partly Skimmed 2% Milk,2l,A2 Milk,7.49,$0.37 /100ml,0.37
2320980,Metro,"3.25% Lactose Free Protein Milk, Plus",2l,Natrel,7.59,$0.38 /100ml,0.38
2320987,Metro,1% Lactose Free Milk,1l,Lactantia,4.59,$0.46 /100ml,0.46
2320988,Metro,1% Chocolate Milk,6x237ml,Lactantia,7.29,$0.51 /100ml,0.51
2321005,Metro,"1 % Milk, PurFiltre",473ml,Lactantia,2.59,$0.55 /100ml,0.55
2321009,Metro,2% Organic Partly Skimmed Milk,2l,Organic Meadow,6.79,$0.34 /100ml,0.34
2321012,Metro,"2% Organic Chocolate Milk, Fine-Filtered",2l,Natrel,7.59,$0.38 /100ml,0.38
2321013,Metro,1% Organic Partly Skimmed Milk,4l,Organic Meadow,11.49,$0.29 /100ml,0.29
2321014,Metro,"1% Organic Partly Skimmed Milk, Fine-Filtered",4l,Natrel,10.99,$0.27 /100ml,0.27
2321024,Metro,0% Lactose Free Milk,4l,Lactantia,9.99,$0.25 /100ml,0.25
2321025,Metro,"Chocolate Flavoured Partly Skimmed Milkshake, Nesquik",473ml,Nestlé,3.39,$0.72 /100ml,0.72
2321042,Metro,Goat's Milk Feta Cheese,200g,Irrésistible,7.29,$3.65 /100g,3.65
2321063,Metro,"3.25 % Goat Milk, Goat",1l,Liberté,4.99,$0.50 /100ml,0.5
2321078,Metro,Grass Fed Milk 2%,4l,Rolling Meadow,11.99,$0.30 /100ml,0.3
2321079,Metro,Grass Fed 3.8% Milk,4l,Rolling Meadow,12.99,$0.32 /100ml,0.32
